Data,Hora,Dado
01/01/2020,00:00,104.5
01/01/2020,00:15,102.1
01/01/2020,00:30,90.5
01/01/2020,00:45,88.5
01/01/2020,01:00,81.7
01/01/2020,01:15,78.1
01/01/2020,01:30,69.1
01/01/2020,01:45,66.1
01/01/2020,02:00,61.9
01/01/2020,02:15,61
01/01/2020,02:30,54.5
01/01/2020,02:45,50.1
01/01/2020,03:00,49.6
01/01/2020,03:15,46.3
01/01/2020,03:30,45.5
01/01/2020,03:45,47.5
01/01/2020,04:00,49
01/01/2020,04:15,51
01/01/2020,04:30,50
01/01/2020,04:45,51
01/01/2020,05:00,51.5
01/01/2020,05:15,52.5
01/01/2020,05:30,53.5
01/01/2020,05:45,55.5
01/01/2020,06:00,58.5
01/01/2020,06:15,60
01/01/2020,06:30,62.4
01/01/2020,06:45,63.7
01/01/2020,07:00,64.9
01/01/2020,07:15,36.5
01/01/2020,07:30,70.5
01/01/2020,07:45,72.5
01/01/2020,08:00,75.8
01/01/2020,08:15,77.7
01/01/2020,08:30,79.5
01/01/2020,08:45,82.8
01/01/2020,09:00,85.5
01/01/2020,09:15,89.4
01/01/2020,09:30,91.4
01/01/2020,09:45,93.4
01/01/2020,10:00,94
01/01/2020,10:15,93.4
01/01/2020,10:30,94.7
01/01/2020,10:45,93.3
01/01/2020,11:00,90.6
01/01/2020,11:15,87.7
01/01/2020,11:30,84.2
01/01/2020,11:45,80.2
01/01/2020,12:00,76.2
01/01/2020,12:15,71
01/01/2020,12:30,68.9
01/01/2020,12:45,64.4
01/01/2020,13:00,62.1
01/01/2020,13:15,58.4
01/01/2020,13:30,58.2
01/01/2020,13:45,57
01/01/2020,14:00,57
01/01/2020,14:15,56.7
01/01/2020,14:30,59
01/01/2020,14:45,61.7
01/01/2020,15:00,65.2
01/01/2020,15:15,65.8
01/01/2020,15:30,68
01/01/2020,15:45,72.2
01/01/2020,16:00,77
01/01/2020,16:15,81.3
01/01/2020,16:30,84.8
01/01/2020,16:45,87
01/01/2020,17:00,87.9
01/01/2020,17:15,86.4
01/01/2020,17:30,84.3
01/01/2020,17:45,83
01/01/2020,18:00,79.1
01/01/2020,18:15,76.9
01/01/2020,18:30,72.6
01/01/2020,18:45,69.3
01/01/2020,19:00,65.3
01/01/2020,19:15,62.2
01/01/2020,19:30,58.7
01/01/2020,19:45,57
01/01/2020,20:00,58.8
01/01/2020,20:15,60.4
01/01/2020,20:30,62.2
01/01/2020,20:45,67
01/01/2020,21:00,73.4
01/01/2020,21:15,79.6
01/01/2020,21:30,83.7
01/01/2020,21:45,92.6
01/01/2020,22:00,100.8
01/01/2020,22:15,107.3
01/01/2020,22:30,114.2
01/01/2020,22:45,120.9
01/01/2020,23:00,126.2
01/01/2020,23:15,129.2
01/01/2020,23:30,132
01/01/2020,23:45,135
02/01/2020,00:00,134.8
02/01/2020,00:15,131.9
02/01/2020,00:30,129.5
02/01/2020,00:45,122.4
02/01/2020,01:00,119
02/01/2020,01:15,112.9
02/01/2020,01:30,105.2
02/01/2020,01:45,100.5
02/01/2020,02:00,92.4
02/01/2020,02:15,84.9
02/01/2020,02:30,79.9
02/01/2020,02:45,73.7
02/01/2020,03:00,69.5
02/01/2020,03:15,65.2
02/01/2020,03:30,62.6
02/01/2020,03:45,62
02/01/2020,04:00,59.4
02/01/2020,04:15,60.5
02/01/2020,04:30,61.7
02/01/2020,04:45,62.5
02/01/2020,05:00,66.1
02/01/2020,05:15,65.6
02/01/2020,05:30,66.1
02/01/2020,05:45,69.3
02/01/2020,06:00,69.7
02/01/2020,06:15,70.8
02/01/2020,06:30,71.1
02/01/2020,06:45,74.1
02/01/2020,07:00,75.5
02/01/2020,07:15,76.5
02/01/2020,07:30,78.2
02/01/2020,07:45,79.8
02/01/2020,08:00,79.8
02/01/2020,08:15,78.1
02/01/2020,08:30,80.5
02/01/2020,08:45,81.1
02/01/2020,09:00,83.7
02/01/2020,09:15,86.2
02/01/2020,09:30,89.4
02/01/2020,09:45,94.2
02/01/2020,10:00,98.9
02/01/2020,10:15,99.9
02/01/2020,10:30,101.1
02/01/2020,10:45,106.2
02/01/2020,11:00,106.3
02/01/2020,11:15,111.1
02/01/2020,11:30,111.6
02/01/2020,11:45,110.1
02/01/2020,12:00,110.2
02/01/2020,12:15,108.4
02/01/2020,12:30,104.6
02/01/2020,12:45,102.2
02/01/2020,13:00,98.9
02/01/2020,13:15,94.9
02/01/2020,13:30,87.2
02/01/2020,13:45,81
02/01/2020,14:00,77
02/01/2020,14:15,70.9
02/01/2020,14:30,65.6
02/01/2020,14:45,62.5
02/01/2020,15:00,59.1
02/01/2020,15:15,59.8
02/01/2020,15:30,57.4
02/01/2020,15:45,57.3
02/01/2020,16:00,57
02/01/2020,16:15,57.3
02/01/2020,16:30,58.1
02/01/2020,16:45,59.7
02/01/2020,17:00,59.1
02/01/2020,17:15,60.1
02/01/2020,17:30,61.2
02/01/2020,17:45,62.8
02/01/2020,18:00,64.2
02/01/2020,18:15,64.4
02/01/2020,18:30,62.5
02/01/2020,18:45,58.1
02/01/2020,19:00,58.9
02/01/2020,19:15,55.5
02/01/2020,19:30,52.5
02/01/2020,19:45,51.1
02/01/2020,20:00,51.4
02/01/2020,20:15,49.9
02/01/2020,20:30,52.5
02/01/2020,20:45,52.8
02/01/2020,21:00,52.4
02/01/2020,21:15,57.3
02/01/2020,21:30,59.1
02/01/2020,21:45,62.3
02/01/2020,22:00,68.8
02/01/2020,22:15,71.8
02/01/2020,22:30,77.7
02/01/2020,22:45,86.1
02/01/2020,23:00,92.5
02/01/2020,23:15,99.3
02/01/2020,23:30,108.6
02/01/2020,23:45,115.3
03/01/2020,00:00,121.9
03/01/2020,00:15,122.7
03/01/2020,00:30,125.2
03/01/2020,00:45,124.1
03/01/2020,01:00,121.8
03/01/2020,01:15,119.7
03/01/2020,01:30,115.4
03/01/2020,01:45,109.9
03/01/2020,02:00,103.2
03/01/2020,02:15,96.1
03/01/2020,02:30,90.5
03/01/2020,02:45,81.9
03/01/2020,03:00,74.7
03/01/2020,03:15,68.7
03/01/2020,03:30,61.2
03/01/2020,03:45,56.2
03/01/2020,04:00,51.9
03/01/2020,04:15,47.1
03/01/2020,04:30,43.8
03/01/2020,04:45,42.6
03/01/2020,05:00,40.5
03/01/2020,05:15,43.1
03/01/2020,05:30,43.7
03/01/2020,05:45,43.8
03/01/2020,06:00,45.8
03/01/2020,06:15,45.9
03/01/2020,06:30,46.9
03/01/2020,06:45,46.1
03/01/2020,07:00,47.5
03/01/2020,07:15,49.7
03/01/2020,07:30,51.8
03/01/2020,07:45,54.6
03/01/2020,08:00,52.8
03/01/2020,08:15,53.6
03/01/2020,08:30,55.3
03/01/2020,08:45,55.6
03/01/2020,09:00,56
03/01/2020,09:15,59.7
03/01/2020,09:30,61.3
03/01/2020,09:45,64.7
03/01/2020,10:00,65.7
03/01/2020,10:15,69.5
03/01/2020,10:30,73
03/01/2020,10:45,77.6
03/01/2020,11:00,84.5
03/01/2020,11:15,89.3
03/01/2020,11:30,92.7
03/01/2020,12:00,102.9
03/01/2020,12:15,104.6
03/01/2020,12:30,103.9
03/01/2020,12:45,105.5
03/01/2020,13:00,101.3
03/01/2020,13:15,98.5
03/01/2020,13:30,96.4
03/01/2020,13:45,93.8
03/01/2020,14:00,87.3
03/01/2020,14:15,81
03/01/2020,14:30,74.8
03/01/2020,14:45,71.3
03/01/2020,15:00,69.1
03/01/2020,15:15,63.5
03/01/2020,15:30,55.3
03/01/2020,15:45,51.1
03/01/2020,16:00,49.2
03/01/2020,16:15,45.4
03/01/2020,16:30,42.7
03/01/2020,16:45,42.5
03/01/2020,17:00,42.2
03/01/2020,17:15,44.1
03/01/2020,17:30,43.9
03/01/2020,17:45,45.9
03/01/2020,18:00,47.1
03/01/2020,18:15,47.9
03/01/2020,18:30,51.9
03/01/2020,18:45,54.6
03/01/2020,19:00,57
03/01/2020,19:15,56.4
03/01/2020,19:30,56.4
03/01/2020,19:45,56.8
03/01/2020,20:00,54.2
03/01/2020,20:15,55.1
03/01/2020,20:30,52.4
03/01/2020,20:45,52.7
03/01/2020,21:00,58
03/01/2020,21:15,59.5
03/01/2020,21:30,64.3
03/01/2020,21:45,66.9
03/01/2020,22:00,71
03/01/2020,22:15,75
03/01/2020,22:30,82.4
03/01/2020,22:45,87.4
03/01/2020,23:00,94.9
03/01/2020,23:15,105.3
03/01/2020,23:30,111.7
03/01/2020,23:45,122.4
04/01/2020,00:00,132
04/01/2020,00:15,139
04/01/2020,00:30,145.1
04/01/2020,00:45,147.8
04/01/2020,01:00,154
04/01/2020,01:15,156.4
04/01/2020,01:30,159.8
04/01/2020,01:45,157.7
04/01/2020,02:00,157.9
04/01/2020,02:15,154.1
04/01/2020,02:30,148.1
04/01/2020,02:45,145.5
04/01/2020,03:00,137.2
04/01/2020,03:15,130.3
04/01/2020,03:30,123
04/01/2020,03:45,116.6
04/01/2020,04:00,112.1
04/01/2020,04:15,104.1
04/01/2020,04:30,98.6
04/01/2020,04:45,91.3
04/01/2020,05:00,86.3
04/01/2020,05:15,81.3
04/01/2020,05:30,77.5
04/01/2020,05:45,75.7
04/01/2020,06:00,71.6
04/01/2020,06:15,71.9
04/01/2020,06:30,72.3
04/01/2020,06:45,71.4
04/01/2020,07:00,71.3
04/01/2020,07:15,71.9
04/01/2020,07:30,75
04/01/2020,07:45,76.9
04/01/2020,08:00,78.1
04/01/2020,08:15,80.8
04/01/2020,08:30,80.8
04/01/2020,08:45,83.8
04/01/2020,09:00,90.6
04/01/2020,09:15,95.5
04/01/2020,09:30,97.7
